name	ear long	ear width	ear rows	ph	eh	spinning days	ear weight
1	10.50 	36.17 	12.00 	175.50 	60.30 	66.00 	134.00 
2	12.00 	37.04 	12.00 	175.80 	40.80 	54.00 	63.40 
3	13.10 	36.99 	11.20 	136.20 	30.20 	50.00 	32.60 
4	15.00 	47.27 	14.80 	213.00 	74.80 	66.00 	118.40 
5	12.00 	49.51 	14.00 	184.00 	69.00 	69.00 	56.00 
6	9.00 	40.41 	13.00 	204.60 	55.60 	58.00 	62.33 
7	12.80 	37.65 	14.40 	148.80 	56.20 	66.00 	72.40 
8	12.80 	41.36 	14.00 	145.40 	61.00 	67.00 	86.80 
9	11.90 	46.60 	12.50 	185.40 	59.00 	65.00 	100.75 
10	12.10 	45.68 	15.30 	161.20 	67.20 	57.00 	98.80 
11	13.80 	43.11 	14.00 	221.40 	55.00 	62.00 	105.40 
12	12.00 	39.29 	12.00 	185.20 	61.40 	61.00 	71.20 
13	9.70 	41.53 	12.80 	144.20 	55.00 	63.00 	70.40 
14	8.10 	42.63 	13.20 	150.20 	79.40 	56.00 	92.00 
15	11.50 	45.43 	18.00 	202.40 	58.00 	55.00 	110.75 
16	14.60 	41.12 	15.50 	197.20 	74.00 	59.00 	77.50 
17	11.80 	44.65 	15.50 	172.60 	56.00 	63.00 	89.75 
18	13.40 	43.43 	14.00 	144.80 	33.40 	55.00 	92.20 
19	12.00 	48.76 	15.30 	197.60 	77.20 	68.00 	74.67 
20	11.50 	45.65 	16.00 	165.80 	51.20 	67.00 	88.50 
21	13.20 	41.10 	15.00 	181.80 	71.00 	67.00 	67.40 
22	11.40 	41.08 	18.00 	160.00 	65.00 	70.00 	52.80 
23	11.30 	40.52 	14.00 	133.20 	33.60 	66.00 	86.67 
24	14.40 	42.91 	14.00 	197.20 	63.80 	62.00 	113.50 
25	14.00 	34.22 	11.30 	181.00 	58.40 	57.00 	63.33 
26	12.40 	45.89 	13.60 	203.00 	59.40 	61.00 	95.20 
27	9.00 	34.37 	11.00 	176.00 	67.40 	62.00 	45.00 
28	17.30 	47.62 	14.00 	209.60 	58.80 	55.00 	154.00 
29	13.40 	45.17 	16.00 	197.80 	66.40 	67.00 	75.75 
30	17.50 	43.06 	14.00 	218.00 	67.20 	61.00 	112.50 
31	9.80 	39.81 	15.00 	159.20 	44.60 	62.00 	37.20 
32	14.00 	39.64 	14.80 	220.00 	57.60 	64.00 	78.80 
33	12.30 	40.61 	14.00 	198.40 	54.40 	61.00 	71.80 
34	16.50 	50.38 	14.40 	246.80 	82.20 	54.00 	193.60 
35	16.00 	39.72 	15.20 	201.20 	99.00 	67.00 	92.40 
36	15.80 	43.14 	14.50 	230.20 	81.00 	67.00 	88.75 
37	14.00 	44.26 	14.00 	195.40 	73.00 	59.00 	77.00 
38	10.00 	37.05 	10.00 	160.80 	57.40 	65.00 	54.00 
39	14.00 	43.67 	13.50 	215.00 	74.40 	62.00 	96.75 
40	12.80 	44.77 	15.00 	188.40 	72.80 	64.00 	70.00 
41	10.30 	42.01 	14.50 	190.40 	81.80 	65.00 	65.75 
42	10.80 	39.04 	14.00 	152.60 	56.20 	59.00 	56.67 
43	10.00 	30.07 	10.00 	124.60 	31.80 	50.00 	27.33 
44	13.80 	40.94 	18.00 	154.20 	66.00 	64.00 	96.60 
45	12.00 	39.19 	14.00 	179.80 	73.40 	65.00 	66.25 
46	12.70 	33.27 	12.00 	112.80 	36.40 	56.00 	47.00 
47	11.90 	45.04 	15.20 	217.40 	69.20 	60.00 	97.20 
48	14.60 	39.76 	14.00 	202.80 	66.20 	60.00 	89.80 
49	11.00 	45.35 	14.00 	166.40 	76.80 	56.00 	113.80 
50	12.20 	47.58 	19.30 	206.40 	67.60 	63.00 	104.67 
51	10.80 	41.38 	13.50 	202.40 	62.60 	65.00 	78.50 
52	12.90 	52.81 	15.60 	198.60 	69.00 	60.00 	117.00 
53	11.50 	42.55 	14.80 	214.80 	86.40 	56.00 	80.00 
54	9.20 	41.74 	13.00 	192.80 	80.20 	56.00 	54.40 
55	10.20 	38.81 	14.40 	179.20 	61.00 	55.00 	80.00 
56	13.60 	43.00 	17.20 	183.40 	75.00 	61.00 	109.33 
57	12.60 	36.34 	14.50 	187.00 	54.20 	57.00 	69.00 
58	11.60 	51.26 	20.40 	192.40 	89.20 	65.00 	104.00 
59	9.70 	39.63 	15.30 	183.00 	56.40 	57.00 	66.33 
60	12.00 	54.13 	22.00 	216.80 	87.20 	62.00 	99.67 
61	12.70 	36.68 	10.80 	174.20 	61.80 	59.00 	72.40 
62	15.80 	45.79 	14.00 	212.60 	84.20 	53.00 	110.00 
63	12.40 	41.05 	12.80 	209.60 	82.40 	66.00 	69.20 
64	14.50 	44.36 	17.50 	236.80 	53.00 	56.00 	135.60 
65	10.90 	45.57 	15.60 	174.60 	71.00 	60.00 	104.20 
66	13.30 	48.96 	17.00 	193.60 	75.60 	64.00 	98.67 
67	15.70 	46.34 	14.80 	209.20 	89.80 	67.00 	116.60 
68	11.80 	38.28 	14.00 	207.40 	62.20 	63.00 	57.00 
69	12.40 	35.58 	10.50 	200.40 	52.00 	58.00 	64.67 
70	12.20 	33.51 	10.40 	179.20 	55.40 	53.00 	62.00 
71	15.50 	50.70 	14.80 	197.40 	71.40 	58.00 	141.40 
72	14.20 	44.68 	14.40 	210.20 	89.00 	56.00 	121.80 
