treatment	yield
new	78.5
new	77.2
new	74.2
new	73.6
new	59.6
new	67.4
new	70.4
new	57.4
new	77
new	64.2
new	69.8
new	70.3
new	65.6
new	69.9
new	66
new	72
new	68.4
new	72
new	76.2
new	70.6
new	69.7
new	65.3
new	78.3
new	63.2
new	71.9
new	71.4
new	67.5
new	78
new	79.3
new	76.6
old	68.9
old	70.3
old	88
old	65.6
old	69.9
old	67.1
old	72.2
old	75.6
old	69.4
old	68.9
old	73.6
old	76.5
old	64.4
old	67
old	62.6
old	50.4
old	57.1
old	69.9
old	64.1
old	69.6
old	71
old	73.2
old	73.9
old	67.5
old	67.7
old	69.1
old	68.1
old	65.4
old	75.4
old	79.8
