Treat	Block	plant height
CK	I	154
CK	I	180
CK	I	190
CK	I	180
CK	I	192
CK	I	176
CK	I	180
CK	I	171
CK	I	178
CK	I	182
CK	I	190
CK	I	178
CK	I	178
CK	I	176
CK	I	187
CK	I	185
CK	I	171
CK	I	179
CK	I	181
CK	I	188
CK	I	187
CK	I	190
CK	I	145
CK	I	190
CK	I	195
CK	I	178
CK	I	183
CK	I	184
CK	I	168
CK	I	182
CK	II	167
CK	II	164
CK	II	165
CK	II	169
CK	II	163
CK	II	167
CK	II	169
CK	II	172
CK	II	176
CK	II	173
CK	II	174
CK	II	173
CK	II	170
CK	II	172
CK	II	158
CK	II	161
CK	II	170
CK	II	166
CK	II	165
CK	II	172
CK	II	167
CK	II	166
CK	II	175
CK	II	167
CK	II	155
CK	II	156
CK	II	156
CK	II	156
CK	II	170
CK	II	172
CK	III	185
CK	III	189
CK	III	158
CK	III	185
CK	III	188
CK	III	186
CK	III	190
CK	III	193
CK	III	191
CK	III	196
CK	III	200
CK	III	190
CK	III	202
CK	III	202
CK	III	192
CK	III	165
CK	III	189
CK	III	183
CK	III	185
CK	III	197
CK	III	196
CK	III	199
CK	III	197
CK	III	197
CK	III	196
CK	III	191
CK	III	200
CK	III	200
CK	III	146
CK	III	196
P1	I	165
P1	I	170
P1	I	152
P1	I	169
P1	I	156
P1	I	175
P1	I	170
P1	I	181
P1	I	176
P1	I	168
P1	I	170
P1	I	166
P1	I	173
P1	I	169
P1	I	181
P1	I	164
P1	I	169
P1	I	165
P1	I	160
P1	I	170
P1	I	168
P1	I	158
P1	I	160
P1	I	173
P1	I	175
P1	I	185
P1	I	168
P1	I	163
P1	I	174
P1	I	171
P1	II	158
P1	II	177
P1	II	184
P1	II	172
P1	II	191
P1	II	195
P1	II	188
P1	II	195
P1	II	189
P1	II	195
P1	II	180
P1	II	203
P1	II	170
P1	II	171
P1	II	193
P1	II	190
P1	II	178
P1	II	176
P1	II	170
P1	II	181
P1	II	176
P1	II	184
P1	II	195
P1	II	191
P1	II	195
P1	II	170
P1	II	193
P1	II	195
P1	II	172
P1	II	192
P1	III	172
P1	III	162
P1	III	169
P1	III	163
P1	III	180
P1	III	157
P1	III	191
P1	III	169
P1	III	191
P1	III	188
P1	III	182
P1	III	180
P1	III	190
P1	III	183
P1	III	179
P1	III	182
P1	III	173
P1	III	164
P1	III	164
P1	III	192
P1	III	177
P1	III	186
P1	III	178
P1	III	163
P1	III	185
P1	III	192
P1	III	184
P1	III	187
P1	III	196
P1	III	191
P2	I	158
P2	I	123
P2	I	165
P2	I	162
P2	I	130
P2	I	128
P2	I	167
P2	I	167
P2	I	180
P2	I	188
P2	I	180
P2	I	162
P2	I	180
P2	I	156
P2	I	176
P2	I	182
P2	I	169
P2	I	148
P2	I	177
P2	I	179
P2	I	175
P2	I	178
P2	I	177
P2	I	180
P2	I	179
P2	I	181
P2	I	184
P2	I	180
P2	I	180
P2	I	184
P2	II	177
P2	II	185
P2	II	186
P2	II	171
P2	II	187
P2	II	177
P2	II	186
P2	II	159
P2	II	163
P2	II	190
P2	II	168
P2	II	181
P2	II	178
P2	II	185
P2	II	162
P2	II	89
P2	II	142
P2	II	173
P2	II	169
P2	II	174
P2	II	180
P2	II	154
P2	II	183
P2	II	162
P2	II	175
P2	II	173
P2	II	172
P2	II	165
P2	II	184
P2	II	180
P2	III	169
P2	III	90
P2	III	174
P2	III	175
P2	III	180
P2	III	178
P2	III	158
P2	III	183
P2	III	145
P2	III	173
P2	III	179
P2	III	173
P2	III	139
P2	III	180
P2	III	158
P2	III	172
P2	III	169
P2	III	165
P2	III	180
P2	III	177
P2	III	179
P2	III	178
P2	III	170
P2	III	146
P2	III	174
P2	III	137
P2	III	167
P2	III	158
P2	III	150
P2	III	183
P4	I	164
P4	I	161
P4	I	186
P4	I	191
P4	I	181
P4	I	173
P4	I	184
P4	I	162
P4	I	156
P4	I	176
P4	I	172
P4	I	133
P4	I	164
P4	I	174
P4	I	171
P4	I	123
P4	I	182
P4	I	141
P4	I	110
P4	I	167
P4	I	125
P4	I	177
P4	I	139
P4	I	104
P4	I	168
P4	I	170
P4	I	166
P4	I	166
P4	I	174
P4	I	172
P4	II	167
P4	II	136
P4	II	169
P4	II	147
P4	II	160
P4	II	80
P4	II	177
P4	II	152
P4	II	171
P4	II	162
P4	II	179
P4	II	181
P4	II	187
P4	II	175
P4	II	179
P4	II	135
P4	II	161
P4	II	175
P4	II	92
P4	II	173
P4	II	186
P4	II	182
P4	II	158
P4	II	182
P4	II	182
P4	II	178
P4	II	128
P4	II	165
P4	II	176
P4	II	143
P4	III	155
P4	III	165
P4	III	171
P4	III	171
P4	III	180
P4	III	172
P4	III	89
P4	III	170
P4	III	173
P4	III	90
P4	III	89
P4	III	129
P4	III	160
P4	III	177
P4	III	173
P4	III	162
P4	III	165
P4	III	159
P4	III	154
P4	III	156
P4	III	153
P4	III	164
P4	III	171
P4	III	176
P4	III	180
P4	III	187
P4	III	154
P4	III	162
P4	III	170
P4	III	170
